ID_venta,Producto ,FechaVenta,Region,Unidades,Precio_unitario,Total_Venta
1001,Camiseta Deportiva,2024-01-15,Norte,12.0,35000.0,420000
1002,Zapatos Running,2024-01-17,Sur,8.0,120000.0,960000
1003,Pantalon Casual,2024-01-20,Este,15.0,80000.0,1200000
1004,Camiseta Deportiva,2024-02-01,Oeste,10.0,35000.0,350000
1005,Zapatos Running,2024-02-02,Norte,5.0,120000.0,600000
1006,Pantalon Casual,2024-02-04,Sur,20.0,80000.0,1600000
1007,Gorra ,2024-02-10,Este,25.0,25000.0,625000
1008,Buzo Deportivo,2024-02-12,Oeste,10.0,95000.0,950000
1009,Buzo Deportivo,2024-02-12,Oeste,10.0,95000.0,950000
1010,Pantalon Casual,2024-03-01,Norte,,80000.0,0
1011,Zapatos Running,2024-03-05,Sur,9.0,,1080000
1012,Camiseta Deportiva,2024-03-06,Este,10.0,35000.0,350000
1013,Gorra ,2024-03-07,Oeste,30.0,25000.0,750000
1014,Buzo Deportivo,2024-03-10,Sur,8.0,95000.0,760000
1015,Camiseta Deportiva,2024-04-02,Norte,15.0,35000.0,525000
1016,Zapatos Running,2024-04-04,Oeste,4.0,120000.0,480000
1017,Pantalon Casual,2024-04-06,Este,10.0,80000.0,800000
1018,Gorra ,2024-04-10,Sur,12.0,25000.0,300000
1019,Buzo Deportivo,2024-04-12,Norte,7.0,95000.0,665000
1020,Zapatos Running,2024-04-15,Oeste,,120000.0,0
1021,Camiseta Deportiva,2024-05-01,Este,10.0,35000.0,350000
1022,Buzo Deportivo,2024-05-03,Sur,10.0,95000.0,950000
1023,Gorra ,2024-05-05,Oeste,20.0,25000.0,500000
1024,Pantalon Casual,2024-05-08,Norte,15.0,80000.0,1200000
1025,Zapatos Running,2024-05-09,Sur,8.0,120000.0,960000
1026,Camiseta Deportiva,2024-05-10,Oeste,12.0,35000.0,420000
1027,Gorra ,2024-06-01,Este,10.0,25000.0,250000
1028,Buzo Deportivo,2024-06-02,Norte,11.0,95000.0,1045000
1029,Pantalon Casual,2024-06-04,Sur,10.0,80000.0,800000
1030,Camiseta Deportiva,2024-06-06,Este,14.0,35000.0,490000
